Title,Price,Original Price,Sale Discount,Product URL,Image URL,Stone Type,Metal Type
Kendra Scott Leighton Linear Earrings in White Freshwater Cultured Pearl,60.00,60.00,0.0,https://www.reeds.com/kendra-scott-leighton-linear-earrings-in-white-freshwater-cultured-pearl-plu20384590.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/k/e/kendra_scott_leighton_linear_earrings_in_white_freshwater_cultured_pearl-1-20384590-hx9db80fe5.jpg,Pearl,Gold+Plated
MIKIMOTO Morning Dew Akoya Cultured Pearl and 1/4ctw Diamond Earrings in White Gold,"4,550.00","4,550.00",0.0,https://www.reeds.com/mikimoto-morning-dew-akoya-cultured-pearl-and-1-4ctw-diamond-earrings-in-white-gold-plu20371621.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/m/i/mikimoto_morning_dew_akoya_cultured_pearl_and_1_4ctw_diamond_earrings_in_white_gold-1-20371621-hxed68b151_1.jpg,Pearl,White+Gold
MIKIMOTO Moon Dew Akoya Cultured Pearl Earrings in Yellow Gold,"5,800.00","5,800.00",0.0,https://www.reeds.com/mikimoto-moon-dew-akoya-cultured-pearl-earrings-in-yellow-gold-plu20371613.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/m/i/mikimoto_moon_dew_akoya_cultured_pearl_earrings_in_yellow_gold-1-20371613-hxa7334447_1.jpg,Pearl,Yellow+Gold
Kendra Scott Jovie Beaded Hoop Earrings in White Pearl,98.00,98.00,0.0,https://www.reeds.com/kendra-scott-jovie-beaded-hoop-earrings-in-white-pearl-plu20356556.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/k/e/kendra_scott_jovie_beaded_hoop_earrings_in_white_pearl-1-20356556-hx638317c3_1.jpg,Pearl,Gold+Plated
2-2.5mm White Freshwater Cultured Pearl 1/10ctw Diamond White Gold Hoop Earrings,"1,599.99","1,599.99",0.0,https://www.reeds.com/2-2-5mm-white-freshwater-cultured-pearl-1-10ctw-diamond-white-gold-hoop-earrings-plurdj005890.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/2/-/2-2_5mm_white_freshwater_cultured_pearl_1_10ctw_white_gold_hoop_earrings-1-rdj005890-hx2ddc6223.jpg,Pearl,White+Gold
3.5-4mm White Freshwater Cultured Pearl 1/20ctw Diamond Heart Charm Yellow Gold Fashion Post Earrings,749.99,749.99,0.0,https://www.reeds.com/3-5-4mm-white-freshwater-cultured-pearl-1-20ctw-diamond-heart-charm-yellow-gold-fashion-post-earrings-plurdj005891.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/3/_/3_5-4mm_white_freshwater_cultured_pearl_1_20ctw_diamond_heart_charm_yellow_gold_fashion_post_earrings-1-rdj005891-hxfe70f9f6_1.jpg,Pearl,Yellow+Gold
2-2.5mm White Freshwater Cultured Pearl Yellow Gold Hoop Earrings,"1,199.99","1,199.99",0.0,https://www.reeds.com/2-2-5mm-white-freshwater-cultured-pearl-yellow-gold-hoop-earrings-plurdj005882.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/2/-/2-2_5mm_white_freshwater_cultured_pearl_yellow_gold_hoop_earrings-1-rdj005882-hxbcd81a80.jpg,Pearl,Yellow+Gold
Downton Abbey | Lady Edith - Freshwater Cultured Pearl and Created White Sapphire Sterling Silver Drop Earrings,79.99,79.99,0.0,https://www.reeds.com/downton-abbey-lady-edith-freshwater-cultured-pearl-and-created-white-sapphire-sterling-silver-drop-earrings-plu20298642.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/d/o/downton_abbey__lady_edith-freshwater_cultured_pearl_and_created_white_sapphire_sterling_silver_drop_earrings-1-20298642-hx36d0d4ed_1.jpg,Pearl,Sterling+Silver
MIKIMOTO Morning Dew 1/5ctw Diamond and Akoya Cultured Pearl Earrings in 18k White Gold,"3,000.00","3,000.00",0.0,https://www.reeds.com/mikimoto-morning-dew-1-5ctw-diamond-and-akoya-cultured-pearl-earrings-in-18k-white-gold-plu20341772.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/m/i/mikimoto_morning_dew_1_5ctw_diamond_and_akoya_cultured_pearl_earrings_in_18k_white_gold-1-20341772-hx62c53bae.jpg,Pearl,White+Gold
MIKIMOTO Morning Dew 1/2ctw Diamond and White South Sea Cultured Pearl Earrings in 18k White Gold,"8,900.00","8,900.00",0.0,https://www.reeds.com/mikimoto-morning-dew-1-2ctw-diamond-and-white-south-sea-cultured-pearl-earrings-in-18k-white-gold-plu20341798.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/m/i/mikimoto_morning_dew_1_2ctw_diamond_and_white_south_sea_cultured_pearl_earrings_in_18k_white_gold-1-20341798-hx9fc32d39_1.jpg,Pearl,White+Gold
Freshwater Cultured Pearl and 1/6ctw Diamond Yellow Gold Huggie Hoop Earrings,579.99,579.99,0.0,https://www.reeds.com/freshwater-cultured-pearl-and-1-6ctw-diamond-yellow-gold-huggie-hoop-earrings-plu20286548.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/f/r/freshwater_cultured_pearl_and_1_6ctw_diamond_yellow_gold_huggie_hoop_earrings-1-20286548-hx75d7ee96_1.jpg,Pearl,Yellow+Gold
Pandora June White Eternity Circle Stud Earrings,60.00,60.00,0.0,https://www.reeds.com/pandora-june-white-eternity-circle-stud-earrings-plu20326740.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/p/a/pandora_june_white_eternity_circle_stud_earrings-1-20326740-hx5ff954d7_1.jpg,Pearl,Sterling+Silver
"Freshwater Cultured Pearl Heart White Gold Earrings, Necklace, and Ring Gift Set","2,139.99","2,139.99",0.0,https://www.reeds.com/freshwater-cultured-pearl-heart-white-gold-earrings-necklace-and-ring-gift-set-plurdj005341.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/f/r/freshwater_cultured_pearl_heart_white_gold_earrings_necklace_and_ring_gift_set-1-rdj005341-hx5dd067ca_2.jpg,Pearl,White+Gold
Freshwater Cultured Pearl Heart White Gold Leverback Earrings,899.99,899.99,0.0,https://www.reeds.com/freshwater-cultured-pearl-heart-white-gold-leverback-earrings-plurdj005331.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/f/r/freshwater_cultured_pearl_heart_white_gold_leverback_earrings-1-rdj005331-hxad5975a2.jpg,Pearl,White+Gold
Freshwater Cultured Pearl Heart Yellow Gold Leverback Earrings,889.99,889.99,0.0,https://www.reeds.com/freshwater-cultured-pearl-heart-yellow-gold-leverback-earrings-plurdj005333.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/f/r/freshwater_cultured_pearl_heart_yellow_gold_leverback_earrings-1-rdj005333-hxa654b9ae_2.jpg,Pearl,Yellow+Gold
Fresh Water Cultured Pearl Drop and 1/10ctw Diamond Sterling Silver Earrings and Pendant Necklace Set,319.99,319.99,0.0,https://www.reeds.com/fresh-water-cultured-pearl-drop-and-1-10ctw-diamond-sterling-silver-earrings-and-pendant-necklace-set-plurdj005217.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/f/r/fresh_water_cultured_pearl_drop_and_1_10ctw_diamond_sterling_silver_earrings_and_pendant_necklace_set-1-rdj005217-hxbd8f75b4_1.jpg,Pearl,Sterling+Silver
Freshwater Cultured Pearl Drop and 1/5ctw Diamond Trio Sterling Silver Earrings and Necklace Gift Set,289.99,289.99,0.0,https://www.reeds.com/freshwater-cultured-pearl-drop-and-1-5ctw-diamond-trio-sterling-silver-earrings-and-necklace-gift-set-plurdj005222.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/f/r/fresh_water_cultured_pearl_drop_and_1_5ctw_diamond_trio_sterling_silver_earrings_and_pendant_necklace_set-1-rdj005222-hx7407ae68.jpg,Pearl,Sterling+Silver
MIKIMOTO Akoya Cultured Pearl Leverback Earrings with 1/20ctw Diamonds,"1,950.00","1,950.00",0.0,https://www.reeds.com/mikimoto-akoya-cultured-pearl-leverback-earrings-with-1-20ctw-diamonds-plu20298014.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/m/i/mikimoto_akoya_cultured_pearl_leverback_earrings_with_1_20ctw_diamonds-1-20298014-hx01fa6468.jpg,Pearl,Yellow+Gold
John Hardy Classic Chain Pearl Drop Earrings in Sterling Silver,450.00,450.00,0.0,https://www.reeds.com/john-hardy-classic-chain-pearl-drop-earrings-in-sterling-silver-plu20252870.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/j/o/john_hardy_classic_chain_pearl_drop_earrings_in_sterling_silver-1-20252870-hxebdaa59f_1.jpg,Pearl,Sterling+Silver
MIKIMOTO Morning Dew Black South Sea Pearl Drop Earrings,"5,100.00","5,100.00",0.0,https://www.reeds.com/mikimoto-morning-dew-black-south-sea-pearl-drop-earrings-plu20299913.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/m/i/mikimoto_morning_dew_black_south_sea_pearl_drop_earrings-1-20299913-hxc77faa45.jpg,Pearl,White+Gold
MIKIMOTO Morning Dew Akoya Cultured Pearl and 1/2ctw Diamond Drop Earrings,"12,000.00","12,000.00",0.0,https://www.reeds.com/mikimoto-morning-dew-akoya-cultured-pearl-and-1-2ctw-diamond-drop-earrings-plu20290060.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/m/i/mikimoto_morning_dew_akoya_cultured_pearl_and_1_2ctw_diamond_drop_earrings-1-20290060-hxaedcb53e_1.jpg,Pearl,White+Gold
Freshwater Cultured Pearl Teardrop Shaped Sterling Silver Earrings,149.99,149.99,0.0,https://www.reeds.com/freshwater-cultured-pearl-teardrop-shaped-sterling-silver-earrings-plu622024-fw.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/f/r/freshwater_cultured_pearl_teardrop_shaped_sterling_silver_earrings-1-622024_fw-hx62284ece_1.jpg,Pearl,Sterling+Silver
Freshwater Cultured Pearl Sterling Silver Linear Drop Earrings,159.99,159.99,0.0,https://www.reeds.com/freshwater-cultured-pearl-sterling-silver-linear-drop-earrings-plu626686-fw.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/f/r/freshwater_cultured_pearl_sterling_silver_linear_drop_earrings-1-626686_fw-hx851b408d.jpg,Pearl,Sterling+Silver
Freshwater Cultured Pearl and White Topaz Sterling Silver Link Drop Earrings,149.99,149.99,0.0,https://www.reeds.com/freshwater-cultured-pearl-and-white-topaz-sterling-silver-link-drop-earrings-plu629991-fw.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/f/r/freshwater_cultured_pearl_and_white_topaz_sterling_silver_link_drop_earrings-1-629991_fw-hxcfeba2ce_1_1.jpg,Pearl,Sterling+Silver
Freshwater Cultured Pearl and Created White Sapphire Sterling Silver Star Drop Earrings,159.99,159.99,0.0,https://www.reeds.com/freshwater-cultured-pearl-and-created-white-sapphire-sterling-silver-star-drop-earrings-plu622490-fw.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/f/r/freshwater_cultured_pearl_and_created_white_sapphire_sterling_silver_star_drop_earrings-1-622490_fw-hx360192c5_1.jpg,Pearl,Sterling+Silver
Tahitian Cultured Pearl Sterling Silver Hoop Earrings,449.99,449.99,0.0,https://www.reeds.com/tahitian-cultured-pearl-sterling-silver-hoop-earrings-plu629608-b.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/t/a/tahitian_cultured_pearl_sterling_silver_hoop_earrings-1-629608_b-hx218d1d88_1.jpg,Pearl,Sterling+Silver
