title,price,original_price,sale_discount,product_url,image_url,stone_type,metal_type
14K Rose Gold 0.58 ct Diamond Earrings,784.99,"5,350.00",85.3,https://www.jomashop.com/lb-exclusive-14k-rose-gold-0-58-ct-diamond-earrings-aer-15708r-r.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-rose-gold-058-ct-diamond-earrings-aer15708rr_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K Yellow Gold 0.58 ct Diamond Earrings,784.99,"5,350.00",85.3,https://www.jomashop.com/lb-exclusive-14k-yellow-gold-0-58-ct-diamond-earrings-aer-15708y-y.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-yellow-gold-058-ct-diamond-earrings-aer15708yy_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K Yellow Gold 0.40 ct Diamond Earrings,629.99,"4,275.00",85.3,https://www.jomashop.com/lb-exclusive-14k-yellow-gold-0-40-ct-diamond-earrings-aer-15717y-y.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-yellow-gold-040-ct-diamond-earrings-aer15717yy_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K White Gold 0.58 ct Diamond Earrings,784.99,"5,350.00",85.3,https://www.jomashop.com/lb-exclusive-14k-white-gold-0-58-ct-diamond-earrings-aer-15708w-w.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-white-gold-058-ct-diamond-earrings-aer15708ww_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K White Gold 0.55ct Diamond Inside Out Hoop Earrings,684.99,"4,650.00",85.3,https://www.jomashop.com/lb-exclusive-14k-white-gold-0-55ct-diamond-inside-out-hoop-earrings-aer-14260-w.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-white-gold-055ct-diamond-inside-out-hoop-earrings-aer14260w_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K Yellow Gold 1.0ct Diamond Inside Out Hoop Earrings,"1,224.99","8,250.00",85.2,https://www.jomashop.com/lb-exclusive-14k-yellow-gold-1-0ct-diamond-inside-out-hoop-earrings-aer-14262-y.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-yellow-gold-10ct-diamond-inside-out-hoop-earrings-aer14262y_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K Yellow Gold 1.0ct Diamond Hoop Earrings,"1,424.99","9,650.00",85.2,https://www.jomashop.com/lb-exclusive-14k-yellow-gold-1-0ct-diamond-hoop-earrings-aer-10190-y.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-yellow-gold-10ct-diamond-hoop-earrings-aer10190y_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K White Gold 0.42ct Diamond Inside Out Hoop Earrings,599.99,"4,050.00",85.2,https://www.jomashop.com/lb-exclusive-14k-white-gold-0-42ct-diamond-inside-out-hoop-earrings-aer-3313w-w.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-white-gold-042ct-diamond-inside-out-hoop-earrings-aer3313ww_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K Rose Gold 1.0ct Diamond Hoop Earrings,"1,224.99","8,250.00",85.2,https://www.jomashop.com/lb-exclusive-14k-rose-gold-1-0ct-diamond-hoop-earrings-aer-11678-r.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-rose-gold-10ct-diamond-hoop-earrings-aer11678r_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K Yellow Gold 0.81ct Diamond Inside Out Hoop Earrings,879.99,"5,950.00",85.2,https://www.jomashop.com/lb-exclusive-14k-yellow-gold-0-81ct-diamond-inside-out-hoop-earrings-aer-4634-y.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-yellow-gold-081ct-diamond-inside-out-hoop-earrings-aer4634y_2.jpg?width=350&height=350,['Diamond'],['Gold']
